name\Field	op_class	storage	reconfig_time	reconfig_cost	biological_crew	carrying_capacity	carrying_capacity_group	stratum_group	foldable	operations	maintenance	maintenance_rates	buildout	buildout_qty	buildout_scrap	buildout_scrap_qty	recoverable	recoverable_qty
GLASS_CERAMICS_PLANTS	CONVERSION	700 MWh;700;10;2;1;0;1								GLASS_CERAMICS_PRODUCTION	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	1.2;0.2	HEAVY_MACHINERY;STEEL_STRUCTURES;GLASS_CERAMICS;ELECTRICAL_EQUIPMENT;CONCRETE	102.6;91.8;32.4;27;16.2	INDUST_WASTE	20	STEEL;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	148.8;13.1;3;85.15
SEMICONDUCTOR_MAT_FABS	CONVERSION	7500 MWh;350;200;50;100;0;100								SEMICONDUCTOR_PRODUCTION	PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT	0.904;9.04	PRECISION_EQUIPMENT;STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;ELECTRONICS;CONCRETE	432;378;378;270;86.4;75.6	INDUST_WASTE	120	STEEL;ALUMINIUM;INDUST_METALS;PRECIOUS_METALS;INDUST_WASTE	722.5;60;175;1.04;541.5
PROPELLANT_PLANTS	CONVERSION	100 MWh;150;10;250;1;0;400								SOLID_FUEL_PRODUCTION	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	34.2;5.7	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;CONCRETE	1080;972;324;324	INDUST_WASTE	200	STEEL;INDUST_METALS;INDUST_WASTE	1600;138;762
FERTILIZER_PLANTS	CONVERSION	300 MWh;600;25;150;1;0;1								FERTILIZER_PRODUCTION	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.907;0.151	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;CONCRETE	86.4;86.4;27;16.2	INDUST_WASTE	16	STEEL;INDUST_METALS;INDUST_WASTE	134;11.9;54.1
CONSTRUCTION_YARDS	MANUFACTURING	150 MWh;4000;10;2;1;0;1								BUILDOUT	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	11.9;1.98	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	648;378;162;108	INDUST_WASTE	96	STEEL;INDUST_METALS;INDUST_WASTE	777.5;81;341.5
SPACE_YARDS	MANUFACTURING	300 MWh;1000;10;2;1;0;50								SPACE_YARDS_ASSEMBLY	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	17.2;2.86	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;CONCRETE;PRECISION_EQUIPMENT	648;540;162;162;108	INDUST_WASTE	120	STEEL;ALUMINIUM;INDUST_METALS;PRECIOUS_METALS;INDUST_WASTE	940;15;93;0.2;451.8
TRANSPORT_FACTORIES	MANUFACTURING	300 MWh;700;10;2;1;0;25								TRANSPORT_MANUF	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	30.2;5.04	STEEL_STRUCTURES;HEAVY_MACHINERY;ROBOTICS;ELECTRICAL_EQUIPMENT;CONCRETE	1080;1080;378;378;324	INDUST_WASTE	240	STEEL;ALUMINIUM;INDUST_METALS;INDUST_WASTE	1830;35;209.5;925.5
METAL_FAB_WORKS	MANUFACTURING	150 MWh;700;10;2;1;0;1	90	0.2					x	STEEL_STRUCTURES_MANUF;ALUMINIUM_STRUCTURES_MANUF	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	3.99;0.666	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	216;183.6;54;32.4	INDUST_WASTE	36	STEEL;INDUST_METALS;INDUST_WASTE	304.5;27;118.5
COMPOSITES_FACILITIES	MANUFACTURING	400 MWh;700;10;25;1;0;1	180	0.5					x	COMPOSITE_PRODUCTION;COMPOSITE_STRUCTURES_MANUF	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	8.4;1.4	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	410.4;345.6;129.6;86.4	INDUST_WASTE	72	STEEL;INDUST_METALS;INDUST_WASTE	586;56.8;257.2
TEXTILES_MILLS	MANUFACTURING	250 MWh;700;10;2;1;0;25								TECHNICAL_TEXTILES_FAB	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	23.2;3.86	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	1080;864;270;162	INDUST_WASTE	176	STEEL;INDUST_METALS;INDUST_WASTE	1480;135;585
HEAVY_MANUF_PLANTS	MANUFACTURING	200 MWh;700;10;2;1;0;25	180	0.5					x	HEAVY_MACHINERY_MANUF;ELECTRICAL_EQUIP_MANUF	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	10.8;1.8	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	518.4;432;140.4;97.2	INDUST_WASTE	88	STEEL;INDUST_METALS;INDUST_WASTE	728;67;305
PRECISION_MANUF_PLANTS	MANUFACTURING	600 MWh;350;10;2;1;0;400								PRECISION_EQUIP_MANUF	PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT	4.55;45.5	PRECISION_EQUIPMENT;STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;CONCRETE	1620;1296;1296;756;432	INDUST_WASTE	400	STEEL;ALUMINIUM;INDUST_METALS;PRECIOUS_METALS;INDUST_WASTE	2440;225;550;3;1782
ELECTRONICS_FACTORIES	MANUFACTURING	1000 MWh;300;10;2;1;0;500								ELECTRONICS_MANUF	PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT	4.55;45.5	STEEL_STRUCTURES;HEAVY_MACHINERY;PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT;ELECTRONICS;CONCRETE	1296;1296;1080;864;540;324	INDUST_WASTE	400	STEEL;ALUMINIUM;INDUST_METALS;PRECIOUS_METALS;INDUST_WASTE	2380;150;547;3.5;1920
ADVANCED_PROCESSOR_FABS	MANUFACTURING	10000 MWh;200;150;2;1;0;500	365	2.0					x	TENSOR_PROCESSOR_FAB;NEUROMORPHIC_PROCESSOR_FAB	PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT	6.36;63.6	PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT;STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRONICS;CONCRETE	4320;3780;2160;1296;972;432	INDUST_WASTE	960	STEEL;ALUMINIUM;INDUST_METALS;PRECIOUS_METALS;INDUST_WASTE	4740;600;1801;10.7;4848
ROBOTICS_FACTORIES	MANUFACTURING	750 MWh;300;10;2;1;0;400								ROBOTICS_MANUF	PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT	4.05;40.5	STEEL_STRUCTURES;HEAVY_MACHINERY;ROBOTICS;PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT;CONCRETE	1188;1296;756;648;648;324	INDUST_WASTE	360	STEEL;ALUMINIUM;INDUST_METALS;PRECIOUS_METALS;INDUST_WASTE	2415;160;453;1.2;1471
SOLAR_PANEL_FACTORIES	MANUFACTURING	700 MWh;300;10;2;1;0;450								SOLAR_PANEL_MANUF	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	30;5	HEAVY_MACHINERY;STEEL_STRUCTURES;PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT;CONCRETE	1080;972;540;378;270	INDUST_WASTE	240	STEEL;ALUMINIUM;INDUST_METALS;PRECIOUS_METALS;INDUST_WASTE	1705;75;257;1;962
BATTERY_FACTORIES	MANUFACTURING	500 MWh;300;10;50;1;0;400								BATTERY_MANUF	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	30.9;5.15	HEAVY_MACHINERY;STEEL_STRUCTURES;PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT;CONCRETE	1080;972;486;486;324	INDUST_WASTE	248	STEEL;ALUMINIUM;INDUST_METALS;PRECIOUS_METALS;INDUST_WASTE	1735;67.5;269;0.9;1028
NUCLEAR_FUEL_FAB_PLANTS	MANUFACTURING	8000 MWh;1000;10;100;1;5;5500	730	3.0					x	LEU_FUEL_MANUF;HEU_FUEL_MANUF;THORIUM_FUEL_MANUF	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	42.9;7.14	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;PRECISION_EQUIPMENT;CONCRETE	1080;972;810;540;378	INDUST_WASTE	280	STEEL;ALUMINIUM;INDUST_METALS;PRECIOUS_METALS;RADIOACTIVE_WASTE;INDUST_WASTE	1880;75;337;1;60.35;1147
CONSUMER_GOODS_FACTORIES	MANUFACTURING	150 MWh;700;10;50;1;0;200	90	0.2					x	CONSUMER_GOODS_MANUF;SPECIALTY_GOODS_MANUF	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	15.5;2.58	HEAVY_MACHINERY;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE;ROBOTICS	594;518.4;162;129.6;86.4	INDUST_WASTE	110.4	STEEL;ALUMINIUM;INDUST_METALS;INDUST_WASTE	885;8;89;398
CREW_SYSTEMS	BIOMES	15 MWh;2;2;0.5;0.5;0;0.5			10					CREW_LIFE_SUPPORT	STEEL_STRUCTURES	0.0241	PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT;STEEL_STRUCTURES;HEAVY_MACHINERY;POLYMERS	3.24;3.24;3.24;2.16;1.08	INDUST_WASTE;MUNICIPAL_WASTE	0.6;0.36	STEEL;ALUMINIUM;INDUST_METALS;PRECIOUS_METALS;INDUST_WASTE	5.75;0.45;1.42;0.006;4.374
CITIES_TOWNS	BIOMES	3000 MWh;1500;500;50;75;0;500				20000	HUMAN			URBAN_OPERATIONS	STEEL_STRUCTURES	63.2	CONCRETE;STEEL_STRUCTURES;GLASS_CERAMICS;STEEL;ALUMINIUM_STRUCTURES;POLYMERS;ELECTRICAL_EQUIPMENT;HEAVY_MACHINERY	1.512e+06;2.592e+05;8.64e+04;8.64e+04;6.48e+04;6.48e+04;6.48e+04;2.16e+04	INDUST_WASTE;MUNICIPAL_WASTE	1e+05;6e+04	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	3.1e+05;5.1e+04;1.48e+04;8000;1.616e+06
INDUST_FARMS	BIOMES	50 MWh;250;250;2;25;0;50				10	HUMAN			OPEN_AGRICULTURE	STEEL_STRUCTURES	1.73	HEAVY_MACHINERY;STEEL_STRUCTURES;CONCRETE;ELECTRICAL_EQUIPMENT	64.8;64.8;21.6;10.8	INDUST_WASTE	12	STEEL;INDUST_METALS;INDUST_WASTE	97;7;46
CONTROLLED_ENV_FARMS	BIOMES	600 MWh;250;250;2;25;0;50				10	HUMAN			CONTROLLED_ENV_AGRICULTURE	STEEL_STRUCTURES	1.26	STEEL_STRUCTURES;GLASS_CERAMICS;HEAVY_MACHINERY;CONCRETE;ELECTRICAL_EQUIPMENT;POLYMERS	64.8;43.2;32.4;21.6;16.2;16.2	INDUST_WASTE	14.4	STEEL;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	78;5.7;4;92.3
ARTISANAL_FARMS	BIOMES	50 MWh;75;250;2;25;0;200				500	HUMAN			ARTISANAL_FARMING	STEEL_STRUCTURES	44.1	STEEL_STRUCTURES;HEAVY_MACHINERY;CONCRETE;ELECTRICAL_EQUIPMENT;POLYMERS	540;432;216;64.8;43.2	INDUST_WASTE	96	STEEL;INDUST_METALS;INDUST_WASTE	729;45.2;425.8
ARTISANAL_WORKSHOPS	BIOMES	50 MWh;400;10;2;1;0;350				200	HUMAN			ARTISANAL_CRAFTING	STEEL_STRUCTURES	50	STEEL_STRUCTURES;HEAVY_MACHINERY;CONCRETE;ELECTRICAL_EQUIPMENT;POLYMERS	648;486;270;75.6;32.4	INDUST_WASTE	112	STEEL;INDUST_METALS;INDUST_WASTE	853;51.4;495.6
COMMERCIAL_FISHING_FLEETS	BIOMES	500 MWh;10;10;2;1;0;1500				100	HUMAN			COMMERCIAL_FISHING	STEEL_STRUCTURES	0.8	TRANSPORT_SYSTEMS;STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT	64.8;27;16.2;5.4	INDUST_WASTE	8.4	STEEL;ALUMINIUM;INDUST_METALS;INDUST_WASTE	63.75;6;5.3;29.95
AQUACULTURE_FARMS	BIOMES	50 MWh;200;250;2;25;0;75				50	HUMAN			OPEN_AQUACULTURE	STEEL_STRUCTURES	3.65	STEEL_STRUCTURES;POLYMERS;HEAVY_MACHINERY;CONCRETE;ELECTRICAL_EQUIPMENT	43.2;21.6;21.6;16.2;8.64	INDUST_WASTE	8.24	STEEL;INDUST_METALS;INDUST_WASTE	51.2;3.36;48.44
CONTROLLED_ENV_AQUACULTURE_FACILITIES	BIOMES	600 MWh;150;200;2;25;0;125				10	HUMAN			CONTROLLED_ENV_AQUACULTURE	STEEL_STRUCTURES	4.71	STEEL_STRUCTURES;HEAVY_MACHINERY;CONCRETE;GLASS_CERAMICS;POLYMERS;ELECTRICAL_EQUIPMENT	54;32.4;27;21.6;21.6;16.2	INDUST_WASTE	12.8	STEEL;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	69.5;5.7;2;82.8
FORESTRY_OPS	BIOMES	500 MWh;10000;10;2;1;0;1				100	HUMAN			OPEN_FORESTRY	STEEL_STRUCTURES	5	HEAVY_MACHINERY;STEEL_STRUCTURES;TRANSPORT_SYSTEMS;ELECTRICAL_EQUIPMENT	54;21.6;21.6;5.4	INDUST_WASTE	7.6	STEEL;ALUMINIUM;INDUST_METALS;INDUST_WASTE	64;2;6.1;22.9
ALGAL_CULTIVATION_FACILITIES	BIOMES	200 MWh;250;125;2;50;0;1								ALGACULTURE	STEEL_STRUCTURES	24.2	STEEL_STRUCTURES;GLASS_CERAMICS;POLYMERS;HEAVY_MACHINERY;CONCRETE;ELECTRICAL_EQUIPMENT	237.6;162;118.8;108;86.4;43.2	INDUST_WASTE	56	STEEL;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	273;16.8;15;395.2
BIOREACTOR_FACILITIES	BIOMES	400 MWh;1200;200;500;25;0;200	180	0.5					x	CELLULAR_AGRICULTURE;ETHANOL_FERMENTATION;INDUST_FERMENTATION	STEEL_STRUCTURES	0.963	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;GLASS_CERAMICS;CONCRETE	118.8;102.6;43.2;27;32.4	INDUST_WASTE	24	STEEL;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	176;16.4;2.5;105.1
FOOD_PROCESSING_PLANTS	BIOMES	150 MWh;500;50;2;1;0;125								FOOD_PROCESSING_PACKAGING	STEEL_STRUCTURES	22.2	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;CONCRETE	97.2;102.6;32.4;32.4	INDUST_WASTE	19.6	STEEL;INDUST_METALS;INDUST_WASTE	155;14.2;75.8
BIOGAS_DIGESTERS	BIOMES	50 MWh;500;100;2;75;0;1								BIOGAS_PRODUCTION	STEEL_STRUCTURES	0.902	STEEL_STRUCTURES;CONCRETE;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT	32.4;32.4;19.44;6.48	INDUST_WASTE	6.72	STEEL;INDUST_METALS;INDUST_WASTE	40.5;2.76;40.74
BIOMASS_CONVERSION_PLANTS	BIOMES	300 MWh;400;50;150;35;0;1								BIOMASS_LIQUEFACTION	STEEL_STRUCTURES	1.42	STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;CONCRETE	97.2;97.2;32.4;32.4	INDUST_WASTE	19.2	STEEL;INDUST_METALS;INDUST_WASTE	151.5;13.8;74.7
PHARMACEUTICAL_PLANTS	BIOMES	3500 MWh;200;100;2;1;0;500								PHARMACEUTICALS_SYNTH	PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT	3.6;36	STEEL_STRUCTURES;HEAVY_MACHINERY;PRECISION_EQUIPMENT;ELECTRICAL_EQUIPMENT;GLASS_CERAMICS;CONCRETE	1080;1080;756;648;378;378	INDUST_WASTE	320	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;PRECIOUS_METALS;INDUST_WASTE	1930;105;352;35;1.4;1577
SOIL_CONDITIONING_FACILITIES	BIOMES	50 MWh;700;50;2;1;0;1								SOIL_CONDITIONING	STEEL_STRUCTURES	0.16	HEAVY_MACHINERY;STEEL_STRUCTURES;CONCRETE;ELECTRICAL_EQUIPMENT	32.4;21.6;8.64;5.4	INDUST_WASTE	5.04	STEEL;INDUST_METALS;INDUST_WASTE	40;3.5;19.5
WASTEWATER_TREATMENT_PLANTS	BIOMES	250 MWh;400;25;2;15;0;1								BIOWASTE_TREATMENT	STEEL_STRUCTURES	0.374	CONCRETE;STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT	162;97.2;64.8;21.6	INDUST_WASTE	25.6	STEEL;INDUST_METALS;INDUST_WASTE	126.5;9.2;184.3
SCALAR_COMPUTE_NODES	SERVICES	2000 MWh;0;0;0;0;0;5								SCALAR_PROCESSING	FACILITIES_MANAGEMENT;ELECTRONICS	0.54/h;0.48	STEEL_STRUCTURES;CONCRETE;ELECTRICAL_EQUIPMENT;ELECTRONICS;GLASS_CERAMICS	129.6;129.6;86.4;64.8;21.6	INDUST_WASTE;MUNICIPAL_WASTE	20;12	STEEL;INDUST_METALS;GLASS_CERAMICS;PRECIOUS_METALS;INDUST_WASTE	134;26.6;2;0.18;237.2
TENSOR_COMPUTE_NODES	SERVICES	2000 MWh;0;0;0;0;0;5								TENSOR_PROCESSING	FACILITIES_MANAGEMENT;ELECTRONICS	0.0054/h;0.0048	STEEL_STRUCTURES;CONCRETE;ELECTRICAL_EQUIPMENT;TENSOR_PROCESSORS;ELECTRONICS;GLASS_CERAMICS	118.8;118.8;97.2;54;21.6;21.6	INDUST_WASTE;MUNICIPAL_WASTE	20;12	STEEL;INDUST_METALS;GLASS_CERAMICS;PRECIOUS_METALS;INDUST_WASTE	129.5;32.8;2;0.56;235.1
NEUROMORPHIC_NODES	SERVICES	2000 MWh;0;0;0;0;0;5								NEUROMORPHIC_PROCESSING	FACILITIES_MANAGEMENT;ELECTRONICS	1.08/h;0.96	STEEL_STRUCTURES;CONCRETE;ELECTRICAL_EQUIPMENT;NEUROMORPHIC_PROCESSORS;ELECTRONICS;GLASS_CERAMICS	118.8;118.8;97.2;54;21.6;21.6	INDUST_WASTE;MUNICIPAL_WASTE	20;12	STEEL;INDUST_METALS;GLASS_CERAMICS;PRECIOUS_METALS;INDUST_WASTE	129.5;32.8;2;0.56;235.1
PROFESSIONAL_BUSINESS_OFFICES	SERVICES	50 MWh;5;0;0;0;0;5	30	0.1					x	FACILITIES_MANAGEMENT;CYBERSECURITY;MARKETING_ADVERTISING;BUSINESS_SERVICES;ACCOUNTING_SERVICES;CONSULTING;LEGAL_SERVICES;ARCHITECTURE_ENGINEERING	FACILITIES_MANAGEMENT	0.005/h	CONCRETE;STEEL_STRUCTURES;GLASS_CERAMICS;ELECTRICAL_EQUIPMENT;ALUMINIUM_STRUCTURES;POLYMERS;ELECTRONICS;HEAVY_MACHINERY	237.6;75.6;32.4;27;21.6;16.2;10.8;10.8	INDUST_WASTE;MUNICIPAL_WASTE	20;12	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;PRECIOUS_METALS;INDUST_WASTE	76.5;17;7.8;3;0.03;295.7
COMMUNICATIONS_MEDIA_NETWORKS	SERVICES	100 MWh;5;0;0;0;0;5	30	0.1					x	TELECOMMUNICATIONS;BROADCAST_STREAMING	FACILITIES_MANAGEMENT	0.005/h	STEEL_STRUCTURES;CONCRETE;ELECTRICAL_EQUIPMENT;ELECTRONICS;PRECISION_EQUIPMENT;GLASS_CERAMICS;ALUMINIUM_STRUCTURES	129.6;129.6;64.8;43.2;21.6;21.6;21.6	INDUST_WASTE;MUNICIPAL_WASTE	20;12	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;PRECIOUS_METALS;INDUST_WASTE	130;20;23.2;2;0.16;224.6
FINANCIAL_CENTERS	SERVICES	50 MWh;0;0;0;0;0;5	30	0.1					x	FINANCIAL_SERVICES;INSURANCE_RISK	FACILITIES_MANAGEMENT	0.005/h	CONCRETE;STEEL_STRUCTURES;GLASS_CERAMICS;ELECTRICAL_EQUIPMENT;ALUMINIUM_STRUCTURES;POLYMERS;ELECTRONICS;HEAVY_MACHINERY	237.6;75.6;32.4;27;21.6;16.2;10.8;10.8	INDUST_WASTE;MUNICIPAL_WASTE	20;12	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;PRECIOUS_METALS;INDUST_WASTE	76.5;17;7.8;3;0.03;295.7
RESEARCH_LABORATORIES	SERVICES	100 MWh;5;0;0;0;0;10								RESEARCH_DEVELOPMENT	FACILITIES_MANAGEMENT	0.005/h	CONCRETE;STEEL_STRUCTURES;PRECISION_EQUIPMENT;GLASS_CERAMICS;ELECTRICAL_EQUIPMENT;ELECTRONICS;ALUMINIUM_STRUCTURES;POLYMERS	194.4;75.6;43.2;32.4;32.4;21.6;16.2;16.2	INDUST_WASTE;MUNICIPAL_WASTE	20;12	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;PRECIOUS_METALS;INDUST_WASTE	79.5;18.75;17.6;3;0.14;281
EXCHANGES	SERVICES	50 MWh;0;0;0;0;0;5								EXCHANGE_OPERATIONS	FACILITIES_MANAGEMENT	0.005/h	CONCRETE;STEEL_STRUCTURES;GLASS_CERAMICS;ELECTRICAL_EQUIPMENT;ELECTRONICS;ALUMINIUM_STRUCTURES;POLYMERS	237.6;75.6;32.4;27;21.6;21.6;16.2	INDUST_WASTE;MUNICIPAL_WASTE	20;12	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;PRECIOUS_METALS;INDUST_WASTE	69.5;17;8.5;3;0.06;301.9
TRANSPORT_LOGISTICS_HUBS	SERVICES	50 MWh;50;0;100;0;0;0	30	0.1					x	WHOLESALE_LOGISTICS;PASSENGER_SERVICES	FACILITIES_MANAGEMENT	0.005/h	STEEL_STRUCTURES;CONCRETE;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;GLASS_CERAMICS;ELECTRONICS	216;216;43.2;32.4;21.6;10.8	INDUST_WASTE;MUNICIPAL_WASTE	25;15	STEEL;INDUST_METALS;GLASS_CERAMICS;PRECIOUS_METALS;INDUST_WASTE	210;11.3;2;0.03;276.7
RETAIL_COMMERCIAL_CENTERS	SERVICES	50 MWh;100;0;0;0;0;0	30	0.1					x	RETAIL_SERVICES;HOSPITALITY;ENTERTAINMENT;PERSONAL_SERVICES	FACILITIES_MANAGEMENT	0.005/h	CONCRETE;STEEL_STRUCTURES;GLASS_CERAMICS;ELECTRICAL_EQUIPMENT;ALUMINIUM_STRUCTURES;POLYMERS;HEAVY_MACHINERY	270;97.2;43.2;27;27;16.2;5.4	INDUST_WASTE;MUNICIPAL_WASTE	22.5;13.5	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	90;21.25;5.9;4;328.9
HOSPITALS_CLINICS	SERVICES	50 MWh;10;0;0;0;0;50								HEALTHCARE	FACILITIES_MANAGEMENT	0.005/h	CONCRETE;STEEL_STRUCTURES;PRECISION_EQUIPMENT;GLASS_CERAMICS;ELECTRICAL_EQUIPMENT;ALUMINIUM_STRUCTURES;POLYMERS;ELECTRONICS	237.6;86.4;37.8;32.4;32.4;21.6;21.6;16.2	INDUST_WASTE;MUNICIPAL_WASTE	22.5;13.5	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;PRECIOUS_METALS;INDUST_WASTE	87;22.25;15.85;3;0.115;321.8
SCHOOLS_UNIVERSITIES	SERVICES	50 MWh;5;0;0;0;0;0								EDUCATION	FACILITIES_MANAGEMENT	0.005/h	CONCRETE;STEEL_STRUCTURES;GLASS_CERAMICS;ELECTRICAL_EQUIPMENT;ALUMINIUM_STRUCTURES;POLYMERS	270;97.2;43.2;27;27;21.6	INDUST_WASTE;MUNICIPAL_WASTE	22.5;13.5	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	86.5;21.25;5.5;4;332.8
CIVIC_GOVERNMENT_BUILDINGS	SERVICES	50 MWh;5;0;0;0;0;0								PUBLIC_GOV_SERVICES	FACILITIES_MANAGEMENT	0.005/h	CONCRETE;STEEL_STRUCTURES;GLASS_CERAMICS;ELECTRICAL_EQUIPMENT;ALUMINIUM_STRUCTURES;POLYMERS	270;97.2;43.2;27;27;21.6	INDUST_WASTE;MUNICIPAL_WASTE	22.5;13.5	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	86.5;21.25;5.5;4;332.8
UTILITY_SANITATION_NETWORKS	SERVICES	50 MWh;10;500;0;0;0;0								UTILITIES_ENV_SERVICES	FACILITIES_MANAGEMENT	0.005/h	CONCRETE;STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT;INDUST_METALS	324;162;64.8;32.4;10.8	INDUST_WASTE;MUNICIPAL_WASTE	27.5;16.5	STEEL;INDUST_METALS;INDUST_WASTE	181.5;19.4;349.1
